faixa_autor,resultado_pr,categoria_sentimento
A,Aceito,D
A,Aceito,A
A,Aceito,A
A,Aceito,A
A,Aceito,E
A,Aceito,A
A,Aceito,A
A,Aceito,E
A,Aceito,A
A,Aceito,A
A,Aceito,A
A,Aceito,C
A,Aceito,A
A,Aceito,A
A,Aceito,A
A,Recusado,A
A,Recusado,A
A,Recusado,E
A,Recusado,A
A,Recusado,B
A,Recusado,A
A,Recusado,E
A,Recusado,D
A,Recusado,D
A,Recusado,E
A,Recusado,A
A,Recusado,E
A,Recusado,D
A,Recusado,E
A,Recusado,E
B,Aceito,B
B,Aceito,A
B,Aceito,B
B,Aceito,D
B,Aceito,A
B,Aceito,C
B,Aceito,D
B,Aceito,A
B,Aceito,A
B,Aceito,E
B,Aceito,A
B,Aceito,C
B,Aceito,E
B,Aceito,A
B,Aceito,A
B,Recusado,E
B,Recusado,B
B,Recusado,A
B,Recusado,D
B,Recusado,D
B,Recusado,C
B,Recusado,A
B,Recusado,E
B,Recusado,A
B,Recusado,D
B,Recusado,A
B,Recusado,A
B,Recusado,D
B,Recusado,D
B,Recusado,D
C,Aceito,B
C,Aceito,A
C,Aceito,D
C,Aceito,D
C,Aceito,A
C,Aceito,A
C,Aceito,E
C,Aceito,A
C,Aceito,C
C,Aceito,C
C,Aceito,A
C,Aceito,D
C,Aceito,D
C,Aceito,D
C,Aceito,E
C,Recusado,D
C,Recusado,D
C,Recusado,A
C,Recusado,E
C,Recusado,A
C,Recusado,D
C,Recusado,E
C,Recusado,A
C,Recusado,A
C,Recusado,A
C,Recusado,A
C,Recusado,E
C,Recusado,E
C,Recusado,D
C,Recusado,A
D,Aceito,A
D,Aceito,C
D,Aceito,D
D,Aceito,A
D,Aceito,E
D,Aceito,A
D,Aceito,E
D,Aceito,A
D,Aceito,D
D,Aceito,E
D,Aceito,D
D,Aceito,A
D,Aceito,A
D,Aceito,D
D,Aceito,D
D,Recusado,A
D,Recusado,A
D,Recusado,E
D,Recusado,D
D,Recusado,A
D,Recusado,C
D,Recusado,E
D,Recusado,A
D,Recusado,B
D,Recusado,D
D,Recusado,A
D,Recusado,E
D,Recusado,A
D,Recusado,D
D,Recusado,A
E,Aceito,A
E,Aceito,B
E,Aceito,A
E,Aceito,A
E,Aceito,A
E,Aceito,E
E,Aceito,D
E,Aceito,E
E,Aceito,A
E,Aceito,A
E,Aceito,A
E,Aceito,A
E,Aceito,A
E,Aceito,D
E,Aceito,E
E,Recusado,A
E,Recusado,E
E,Recusado,A
E,Recusado,C
E,Recusado,A
E,Recusado,A
E,Recusado,C
E,Recusado,C
E,Recusado,D
E,Recusado,C
E,Recusado,D
E,Recusado,D